"company_name","location","role_title","salary_range_lpa","funding_stage","recent_signal","match_reason","company_url","careers_page","linkedin_company_page","contact_page","job_url","hiring_status","priority_score","cold_outreach_angle","notes"
"Vaani AI Research","Bengaluru","Founding ML / Voice AI Engineer","18-35","Pre-seed ($400K, Oct 2025, Venture Catalysts)","Pre-seed Oct 2025; Google for Startups AI First India 2025; NASSCOM GenAI Foundry; F6S Top 10 AI Infra globally","Voice AI infra — proprietary ASR/TTS  for 14+ Indic languages, RL fine-tuning, multimodal foundational model in dev","https://www.vaaniresearch.com/","https://vaaniresearch.com/team.html","https://www.linkedin.com/company/vaani-ai-research","https://www.vaaniresearch.com/","https://vaanivoice.ai/","actively hiring",90,"'I've stitched GPT-4o + Gemini + Llama/Qwen in prod for RAG (95% MRR, 50K q/mo) — your voice stack + Hinglish ASR is exactly the multimodal challenge I want next.'","Founders Tushar Shinde  (ex-OneCard/IISc RL), Nitesh Tripathi (ex-ThoughtSpot/IISc), Nitish Mishra (IIT-M); founders reachable on LinkedIn"
"GTM Buddy","Hyderabad","Senior AI Engineer / Backend (LLM, RAG)","25-45","Series A ($10M total)","Pivoting to 'Revenue Activation' agentic platform 2025-26; founder Sreedhar Peddineni (3x category-creator: Host Analytics→Gainsight→GTM Buddy)  actively hiring AI-fluent talent","'Ask Buddy' AI copilot  = RAG over enterprise content;  careers page explicitly seeks 'genuine AI fluency'","https://gtmbuddy.ai/","https://gtmbuddy.ai/careers","https://www.linkedin.com/company/gtmbuddy","https://gtmbuddy.ai/company/about-us","https://gtmbuddy.ai/careers","actively  hiring",90,"'Your careers page seeks people with genuine AI fluency, not I-use-ChatGPT-sometimes. My 95% MRR / 50K q/mo RAG proves that bar.'","HQ Hyderabad; 44 employees;  Stellaris+Leo+Neon-backed;  3x category-creating founder"
"CodeRabbit","Bengaluru","Applied AI Engineer / Software Engineer","25-50","Series B ($60M Sep 2025, ~$600M val; Benchmark, YC, Initialized)","Sep 2025 Series B; 6+ Bengaluru openings (Applied AI, SWE); reviews 1B+ lines of code/month","Code review with codebase graph index + parallel review agents = heavy LLM orchestration + embeddings + eval","https://www.coderabbit.ai/","https://www.coderabbit.ai/careers","https://in.linkedin.com/company/coderabbitai","https://www.coderabbit.ai/contact","https://jobs.ashbyhq.com/coderabbit","actively hiring",90,"'Highlight RAG-at-scale (50K+ q/mo at 95% MRR) + LLM eval — your v3 rewrite is fundamentally an agentic eval problem.'","17% of jobs in Bengaluru per TrueUp; founded 2023;  fastest-growing AI dev-tool"
"GetCrux (Crux AI)","Bengaluru","Founding Engineer (Full-Stack / AI Video)","80-100 + 0.5-1% equity","Seed (YC W24, $2.6M)","$1M ARR in months; customers SoFi, Rocket Money, Rappi; agentic video editor orchestrating Kling/Veo/Image/Audio","Multi-model orchestration spec — video+image+audio models; stack: Python/Django/Temporal/Celery/AWS/GCP/Redis","https://www.getcrux.ai/","https://www.ycombinator.com/companies/getcrux/jobs","https://www.linkedin.com/company/getcruxai","https://www.getcrux.ai/","https://www.ycombinator.com/companies/getcrux/jobs/pyis2KX-founding-engineer-full-stack-ai-video-getcrux","actively hiring",90,"'Read your post on prompt→finished ad with Kling/Veo orchestration. I've built multi-model orchestration in prod (GPT-4o+Gemini+Qwen+Llama on FastAPI+Lambda) — ready to own your async generation pipeline.'","Founders Himank Jain, Atharva Padhye, Prabhat Singh (IIT Bombay); 9-person team Koramangala; in-office" 
"Glean (India)","Bengaluru","Senior SWE / Applied AI Engineer","35-75","Series F (2025, ~$7.2B val; Kleiner Perkins, Lightspeed, GC)","First Bengaluru office opened 2023, growing rapidly; median SWE TC ~₹99.8L per Levels.fyi","Enterprise RAG + work assistant + agent orchestration with MCP = closest commercial product to Amit's RAG/multi-model production work","https://www.glean.com/","https://www.glean.com/careers","https://www.linkedin.com/company/gleanwork","https://www.glean.com/contact","https://www.linkedin.com/company/gleanwork/jobs","actively hiring",91,"'Glean's MCP server + skills + memory architecture = what I'm already building. Cite my FastAPI + vector DB + multi-LLM eval experience.'","Founder Arvind Jain  (IIT Delhi, ex-Google, ex-Rubrik);  India team led by Vish (IIT Delhi)"
"Knit (getknit.dev)","Bengaluru (HQ DE)","Backend / Integrations Engineer (AI agent tooling)","18-32","Seed (~$2M; reported $16.1M Series A Aug 2025 — unverified)","Google for Startups AI First India 2025; expanded MCP server catalog 2025","Integration layer for AI agents to connect MCPs/APIs/enterprise data  = RAG + AI workflows + FastAPI fit","https://www.getknit.dev/","https://www.getknit.dev/about","https://www.linkedin.com/company/getknit/","https://www.getknit.dev/about","https://www.linkedin.com/jobs/getknit","actively hiring",91,"'I've shipped RAG with Milvus/Qdrant feeding multi-model agents at 50K+ q/mo — your unified MCP/API layer is exactly the integration plane I want at production scale.'","Founders Aneesh Dhawan + 3; ~49 employees; Endiya, Axilor;  Pavillion Church Street, Bengaluru" 
"Simplismart","Bengaluru (HSR + Richmond Town)","ML Research / ML Platform / Backend Engineer","25-75","Series A ($7M Accel Oct 2024; $8.3M total)","NVIDIA GTC 2025; fastest open-source inference (501 tok/sec Llama 3.1 8B); Yotta partnership powering Shakti Studio sovereign GPU cloud","Declarative LLM serving infra;  vLLM/TGI, multi-tenant LoRA, GPU orchestration = Amit's serverless+multi-model background","https://simplismart.ai/","https://wellfound.com/company/simplismart/jobs","https://in.linkedin.com/company/simplismart","https://simplismart.ai/","https://wellfound.com/company/simplismart/jobs","actively hiring",89,"'Saw the 501 tok/sec Llama 3.1 8B bench + Yotta partnership. I've productionized RAG + retrieval-optimization at scale — would love to bring that to your inference-platform customer-facing layer.'","Founders Amritanshu Jain  (ex-Google), Devansh Ghatak  (ex-Google/Avaamo); 9 open roles" 
"Tessell","Bengaluru (78/9 ORR)","Software Engineer / Cloud DB Engineer (vector + AI)","20-40","Series B ($60M Apr 2025, WestBridge + Lightspeed; $94M total)","2025 Gartner Cool Vendor; building 'Tessell for Milvus' + conversational data management (CoDaM)","Multi-cloud DBaaS with vector extensions, pgvector, Milvus support — direct Milvus/Qdrant/FAISS match","https://www.tessell.com/","https://www.tessell.com/careers","https://www.linkedin.com/company/tessell-inc","https://www.tessell.com/about-us","https://www.tessell.com/careers/jobs","actively hiring",88,"'Lead with vector DB at production scale (Milvus/Qdrant + 50K q/mo); Tessell for Milvus is literally a product line.'","Founder Bala Kuchibhotla (ex-Nutanix); 143 headcount;  explicitly hiring post-Series B"
"Drizz","Bengaluru (HSR Layout)","ML/AI Engineer (Vision AI, multimodal)","20-35","Seed ($2.7M Jul 2025, Stellaris + Shastra)","Emerged from stealth Jul 2025 with $2.7M; serves global unicorns; 97% test accuracy","Multimodal Vision AI agent that 'interprets UI visually' = multimodal orchestration; self-healing test automation  = LLM eval","https://www.drizz.dev/","https://www.drizz.dev/newsroom","https://www.linkedin.com/company/drizz-dev","Founders via LinkedIn","https://www.linkedin.com/company/drizz-dev","actively hiring",88,"'Stealth exit Jul 2025 + multimodal Vision AI agent = same multimodal orchestration pattern I use. Asad (ex-Coinbase PM) and Yash (ex-Amazon) will value my production 50K q/mo metric.'","Founders Asad Abrar, Partha Mohanty, Yash Varyani; tiny team ~15-25" 
"SuperKalam","Bengaluru","AI Backend Engineer (RAG, Vector DB)","20-34","Seed (YC W23; Google for Startups)","D30 retention 'amongst highest in India'; 4.7+ on app stores;  founders publicly building 'new category' AI learning","Job spec verbatim: LLMs, RAG, vector DBs, Python/Node  — exact Amit stack","https://www.superkalam.com/","https://www.ycombinator.com/companies/superkalam/jobs","https://in.linkedin.com/company/superkalam","https://www.superkalam.com/","https://www.ycombinator.com/companies/superkalam/jobs/DKwCjWa-ai-ml-research-internship","actively hiring",88,"'Shipped RAG at 95% MRR / 50K+ q/mo with Milvus + multi-model routing — your AI-mentor at 12K UPSC students/mo is exactly the latency/retrieval challenge I want to own.'","Founders Aseem Gupta  (ex-Razorpay), Vimal Singh Rathore (ex-Unacademy); uses Claude Code, Cursor, custom agents" 
"Toddle","Bengaluru","ML/AI Engineer (teacher copilot 'Plato')","20-35","Series A (Sequoia, Matrix, BeeNext, Better Capital, GSV)","AI deeply embedded for lesson planning, grading, report cards, multilingual tutors; 2,000+ schools in 100+ countries","Genuinely AI-first edtech: RAG over curricula + AI grading + multilingual tutors","https://www.toddleapp.com/","https://careers.toddleapp.com/","https://in.linkedin.com/company/toddle","https://www.toddleapp.com/","https://careers.toddleapp.com/","actively hiring",88,"'Toddle AI grading + report cards = high-stakes RAG over student work. I've productionized eval pipelines at 50K q/mo with Milvus/Qdrant.'","Founders Deepanshu Arora, Gautam Arora, Parita Parekh, Misbah Jafary, Nikhil Poonawala"
"Anyscale (India)","Bengaluru","SWE - Ray Serve / Infra / Customer Eng","30-60","Series C ($250M+; a16z, NEA, Addition)","Multiple Bengaluru SWE roles 2025; Sagar Sumit hosting Ray meetups; CUBEd Award 2026 win","Ray Serve = production multi-model orchestration backbone; team led by Harshil Vyas + Sagar Sumit","https://www.anyscale.com/","https://www.anyscale.com/careers","https://www.linkedin.com/company/anyscale","https://www.anyscale.com/contact","https://builtin.com/job/software-engineer-ray-serve/9248004","actively hiring",87,"'Lead with multi-model orchestration (GPT-4o, Gemini, Qwen, Llama) and LLM serving — Ray Serve is literally the production-serving framework  for that pattern.'","5+ Bengaluru roles via Built In + LinkedIn"
"Bluecopa","Hyderabad (Madhapur)","AI Platform / Backend Engineer (Python, AI Infra)","24-42","Series A ($11.6M total; $7.5M Jan 2026)","$7.5M Series A Jan 2026 (Analog Partners); 5x rev / 3x customer growth 2025; building 'Samyx AI' foundation models for finance","Building  specialized foundation models for finance + AI-native autonomous finance ops = multi-model + doc-AI/OCR","https://www.bluecopa.com","https://www.linkedin.com/company/bluecopa","https://www.linkedin.com/company/bluecopa","Founders via LinkedIn","https://www.linkedin.com/company/bluecopa","actively hiring",87,"'Just-closed Series A + plan to build foundation models = you need AI engineers now. Pitch doc-AI/OCR pipeline experience — your use case is parsing reconciliations/payables/AR from ERPs.'","Founders Satya Prakash Buddhavarapu, Raghavendra Reddy, Nilotpal Chanda; 90 employees; Blume+Analog+Dallas VC" 
"Asha Health","Bengaluru","Software/Staff Engineer, AI Agents","40-100","Seed (oversubscribed; YC F24; GC, 186 Ventures, Reach Capital)","Hiring 4+ Bangalore roles; founders Akkshay (ex-Google PM, GenAI) + Gokul (ex-Brex) actively closing senior eng","AI agents at orchestration layer + 'clever engineering for latency & reliability' = RAG + Lambda + LLM-eval profile","https://www.asha.health/","https://www.workatastartup.com/companies/30131","https://www.linkedin.com/company/asha-health-ai","akkshay@asha.health","https://www.ycombinator.com/companies/asha-health/jobs/toCdRxd-staff-software-engineer-ai-agents","actively hiring",87,"'2+yrs production AI with 95% MRR RAG — your top-0.01% engineer bar + agent-orchestration focus is the work I want. Already shipped multi-model orchestration with GPT-4o/Gemini/Qwen.'","Bangalore office; 5-person eng team; pays well above market; cofounders very reachable" 
"Sortment","Bengaluru","AI Engineer (Agentic Marketing)","20-40","Seed (undisclosed; ajvc-backed)","Google for Startups AI First India 2025; public launch Q3 2025; Soundverse AI early customer","Agentic AI for lifecycle marketing — strategy + content + QA + analyst agents  over customer data","https://sortment.com/","https://sortment.com/","https://www.linkedin.com/company/sortment","https://sortment.com/","https://sortment.com/","likely  hiring",87,"'Your strategy→content→QA→analyst agent loop is the same evaluation harness I built for a 95% MRR RAG. Would love to plug FastAPI + Qdrant + multi-model routing into Sortment.'","Founder Ankur Banga (ex-Uber growth/data); ~10-20 ppl"
"CarePay India (Careena)","Gurgaon","AI Solutions Architect / ML Engineer","20-50","Early-stage Indian arm (Dutch parent raised $45M Series A)","Jul 2025: launched 'Careena' AI EMI assistant; 550+ wellness centers, 1500+ clinics, 30+ hospitals; Wellfound posts 10-60 LPA + 0.05-1.5% equity reporting to Founder/CEO","Careena AI assistant + real-time risk scoring on KYC docs = direct OCR/doc-AI/KYC fit; Gurgaon location","https://www.carepay.money/about","https://wellfound.com/company/carepay-4/jobs","https://www.linkedin.com/company/carepayin","https://www.carepay.money/about","https://wellfound.com/company/carepay-4/jobs","actively hiring",85,"'Just saw Careena launch — building a CARE Engagement Assistant on top of KYC + income docs is my wheelhouse. I can ship a Careena eval harness in 2 weeks.'","CEO India Gaurav Gupta; up to 60 LPA + equity reporting to founder" 
"CodeAnt AI","Bengaluru (JP Nagar)","Senior SWE / ML Engineer (Code Review Agents)","25-45","Seed ($2.51M; YC W24, Uncorrelated, VitalStage)","Customers Commvault, Akasa Air, Kore AI, Sanas; launched AI Pentesting + Developer 360 2025-26; uncovered CVE-2026-29000","Agentic code-security: LLM + static analysis hybrid; Python/AST/AI agents — benefits from multi-model orchestration","https://www.codeant.ai/","https://www.codeant.ai/career","https://in.linkedin.com/company/codeantai","https://www.codeant.ai/contact","https://www.ycombinator.com/companies/codeant-ai/jobs","actively hiring",85,"'Agentic code-security = orchestrating LLM calls under reliability constraints. I've done that with multi-model routing at 50K+ q/mo. Happy to share my eval framework.'","Founders Amartya Jha (ex-Zeta, ex-ShareChat), Chinmay Bharti (IIT Bombay,  ex-Zevi); 25-person team" 
"Kombai","Pune","AI/ML Engineer (multimodal LLMs)","22-40","Seed ($4.5M)","Pivoted  2025 to full-stack Kombai AI Agent; integrates 400+ frontend libraries; SOC 2","Multimodal model + deep learning + heuristics + LLMs on top;  fine-tunes over GPT/Gemini/Claude/Qwen-class — multi-model orchestration","https://kombai.com/","https://kombai.com","https://www.linkedin.com/company/kombai","Founders via LinkedIn","https://www.linkedin.com/company/kombai","likely hiring",85,"'Kombai uses multi-model fine-tuning with public multimodal LLMs <5% output — you value devs who understand LLM eval + orchestration. My 95% MRR RAG proves that.'","Founders Dipanjan Dey, Abhijit Bhole (ex-Mindtickle execs);  Pune office;  Stellaris+Foundation" 
"Thesys","Bengaluru","ML/Backend Engineer (LLM, Generative UI)","22-38","Seed ($4M)","Launched C1 'Generative UI API' 2025; OpenAI-compatible endpoint wrapping multi-model orchestration","C1 API = OpenAI-compatible facade wrapping multi-model LLM calls — same pattern Amit's done","https://www.thesys.dev/","https://www.thesys.dev/company","https://www.linkedin.com/company/thesysdev","Founders via LinkedIn","https://www.linkedin.com/company/thesysdev","actively hiring",84,"'Your C1 API is OpenAI-compatible wrapping multi-model LLM calls — you've done this exact pattern (GPT-4o + Gemini + Qwen + Llama).'","Founders Rabi Shanker Guha (ex-DevRev India Head of Eng, ex-Google),  Parikshit Deshmukh; Together Fund + 8VC;  <20 ppl"
"Tensorfuse","Bengaluru","Founding Engineer (Backend / LLM Infra)","25-40","Seed (YC W24)","Hiring multiple Bengaluru roles incl. mobile + brand designer Mar 2026; pivoted from LLM-eval to serverless GPU runtime","Tensorfuse blog explicitly on 'making RAG production-grade' + retrieval-subsystem optimization = Amit's exact work","https://tensorfuse.io/","https://www.workatastartup.com/companies/tensorfuse","https://www.linkedin.com/company/tensorfuse","https://tensorfuse.io/","https://www.ycombinator.com/companies/tensorfuse/jobs","actively hiring",83,"'Loved your retrieval-subsystem deep-dive — your point about naive vs production-grade RAG is exactly the wall I hit at 50K+ q/mo, and how I got to 95% MRR.'","Founders Agam Jain,  Samagra Sharma;  SF HQ but Bengaluru hiring"
"CARPL.ai","New Delhi (Hauz Khas)","Backend/ML Engineer (RAG, document AI)","18-32","Seed ($6M Feb 2024, Stellaris)","2025  partnerships with DeepHealth (NASDAQ:RDNT), Intelerad, NTT DATA + Royal Marsden NHS;  250+ AI apps from 95+ vendors","Vendor-neutral  radiology AI marketplace  = orchestration of 250+ models across modalities; PACS/RIS integration = OCR + doc AI on radiology reports","https://carpl.ai/","https://carpl.ai/about-us","https://www.linkedin.com/company/carpl-ai","Vidur Mahajan via LinkedIn","https://www.linkedin.com/company/carpl-ai","likely hiring",83,"'Your multi-model orchestration (250+ radiology models) maps 1:1 to my GPT-4o/Gemini/Qwen/Llama stack — pitch myself as the orchestration engineer for your next-gen AI control system with DeepHealth.'","Founder Vidur Mahajan MD MBA;  K-18 Hauz Khas Enclave;  FY24 rev ₹10.9Cr; 64 employees Apr 2025" 
"Decagon (India)","Bengaluru","Agent Software Engineer","30-65","Series C ($231M 2025; ~$1.5B val; a16z, Accel, BOND, Bain)","Bengaluru SWE roles on Levels.fyi 1-3 months ago; rapidly expanding India eng team 2025","Conversational AI agents for support across chat/email/voice = agentic + multi-LLM stack","https://decagon.ai/","https://decagon.ai/careers","https://www.linkedin.com/company/decagon-ai","https://decagon.ai/contact","https://www.levels.fyi/jobs?jobId=85041055849685702","actively hiring",83,"'Frame 50K+ q/mo RAG production as direct experience deploying agents at customer-support scale.'","Customers Notion, Eventbrite, Bilt, Duolingo" 
"OrbitShift.AI","Bengaluru + Delhi/Gurgaon","AI Engineer / Backend (FastAPI/Python)","22-40","Series A ($8.5M total; $7M Oct 2024, Peak XV Surge + Stellaris)","51-200  employees;  founder Swapnil Saykar in India's Top 100 Rising Founders 2026;  scaling Bengaluru + Delhi","Real-time AI for enterprise sales  = RAG over account/intent/financials; multi-model orchestration","https://orbitshift.ai/","https://wellfound.com/company/orbitshift-ai-1","https://www.linkedin.com/company/orbitshift-ai","Founders via LinkedIn","https://wellfound.com/company/orbitshift-ai-1","actively hiring",82,"'Scaling Bengaluru + Delhi simultaneously. Founders ex-Amazon/McKinsey/Stanford respect candidates who quantify RAG quality — 95% MRR is a credible signal.'","HQ Delaware;  India ops Bengaluru, Delhi, Gurgaon (WeWork DLF Two Horizon Centre)" 
"Murf AI","Bengaluru","Software Developer I/II (Python) / Backend Engineer","14-28","Series A+ (6X revenue 18mo; G2 top-10 fastest-growing 2024)","28 active Bengaluru jobs (Jobaaj); 8M users in 100+ countries; expanding dubbing product","TTS in 120+ voices, 20+ languages — production AI at scale; Python/FastAPI roles align","https://murf.ai/","https://murf.ai/careers","https://www.linkedin.com/company/murf-ai","https://murf.ai/contact-sales","https://www.instahyre.com/jobs-at-murf-ai/","actively hiring",82,"'Lead with Python+FastAPI production; my multi-model orchestration (Qwen low-cost path, GPT-4o for quality) is the trade-off Murf optimizes for TTS.'","IIT Kharagpur-founded;  Murf Software Solutions Pvt Ltd"
"Tricog Health","Bengaluru (Vyalikaval)","ML/AI Engineer - Computational Medicine","18-30","Series B ($30M, 8 rounds; Sony Innovation, UTEC, Amnyk)","10M+ patients screened, 4L+ lives saved; dedicated Computational Medicine Division for AI on ECG/Echo","Medical-grade AI on ECG/Echo signals across 14+ countries; AI flywheel + eval","https://tricog.com/","https://tricog.com/careers/","https://in.linkedin.com/company/tricog-health","https://tricog.com/about-us/","https://tricog.com/careers/","likely hiring",82,"'Your Computational Medicine Division on ECG signals fascinates me — I ship multi-model orchestration in prod and would plug into your AI eval / human-in-loop loop.'","Founders Dr. Charit Bhograj, Dr. Zainul Charbiwala, Dr. Udayan Dasgupta, Abhinav Gujjar"
